coordinate,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,GPP_2016,GPP_2017,GPP_2018,GPP_2019,GPP_2020,GPP_2021,GPP_2022,GPP_2023,Land_Cover_2010,Land_Cover_2011,Land_Cover_2012,Land_Cover_2013,Land_Cover_2014,Land_Cover_2015,Land_Cover_2016,Land_Cover_2017,Land_Cover_2018,Land_Cover_2019,Land_Cover_2020,Land_Cover_2021,Land_Cover_2022,Land_Cover_2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-11.343908064666609), np.float64(17.308764967222274))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,10,10,10,10,10,10,16,16,16,16,16,Nouamlein,Kiffa,679.9862006138566,0.43352159037849086,0.616627104298214
"(np.float64(-11.343908064666609), np.float64(17.31765385611116))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,10,10,10,10,10,10,16,16,16,10,16,Nouamlein,Kiffa,683.6039021004449,0.43917920309714586,0.6236393662617712
"(np.float64(-11.342796953555498), np.float64(17.66320941166672))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,837.3630946290306,0.6796385020428466,0.7167086006010939
"(np.float64(-11.340574731333275), np.float64(17.62987607833339))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,822.1220965977768,0.6558035713205956,0.7457474858002512
"(np.float64(-11.3385994226913), np.float64(17.32345632524697))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,10,10,10,16,16,16,16,16,16,Nouamlein,Kiffa,687.2903862245464,0.4449443828791033,0.6314767638530161
"(np.float64(-11.338352509111052), np.float64(16.11432052277783))",899,585,1770,1095,336,794,1432,603,750,866,1350,716,2063,1098,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,502.7755184161931,0.1563872239306608,0.46709413072646694
"(np.float64(-11.332426583185127), np.float64(17.30530817709882))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,10,10,10,10,10,16,16,16,16,16,16,Nouamlein,Kiffa,681.4602586621016,0.4358268246806311,0.6211056985093912
"(np.float64(-11.330451274543153), np.float64(15.994320522777828))",741,647,1538,825,585,1078,1992,705,918,501,1837,707,2611,1250,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,526.3068276554552,0.19318711881756653,0.5808495376199404
"(np.float64(-11.330451274543151), np.float64(16.00148101660499))",1792,614,1997,1104,1145,591,1842,815,1190,965,1463,692,2841,1455,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,524.8337553162681,0.19088342603567723,0.5739383402986912
"(np.float64(-11.326006830098708), np.float64(15.996048917839559))",1073,410,2286,690,830,1043,1989,640,947,743,1792,737,2538,1314,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,527.2850552044855,0.19471693896542835,0.5780187833442578
"(np.float64(-11.32464880540735), np.float64(17.6525921277161))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,836.2329895756059,0.6778711653105665,0.7357305186773192
"(np.float64(-11.324031521456732), np.float64(17.632221757345732))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,10,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,826.8155595948764,0.6631435345666977,0.7528911872487307
"(np.float64(-11.317241397999942), np.float64(15.993579782037088))",1025,562,2146,861,827,985,2116,638,946,645,1304,954,2635,1139,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,530.4629390951076,0.19968673439621376,0.5781091789866761
"(np.float64(-11.313908064666608), np.float64(17.65036990549388))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,837.5428447355653,0.6799196077373546,0.743724099354632
"(np.float64(-11.312426583185125), np.float64(15.988764967222275))",1098,897,2017,779,716,846,2077,542,1323,941,2310,954,3126,1424,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,532.9403987055218,0.20356115771549432,0.5814973969052251
"(np.float64(-11.309463620222164), np.float64(17.319876078333387))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,10,10,10,10,10,10,16,16,16,16,16,Nouamlein,Kiffa,693.2183886687542,0.4542150046119639,0.6469655559784263
