coordinate,value2010,value2011,value2012,value2013,value2014,value2015,value2016,value2017,value2018,value2019,value2020,value2021,value2022,value2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-11.148352509111053), np.float64(15.840987189444503))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,625.4609582985863,0.3482512314076812,0.7093309979994398
"(np.float64(-11.148105595530806), np.float64(15.834443979567954))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,627.3908756609756,0.3512693701501631,0.7158775855303356
"(np.float64(-11.1465006572592), np.float64(15.499876078333388))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,745.8111174237856,0.5364631647258715,1.0504293433938858
"(np.float64(-11.145513002938213), np.float64(15.84197484376549))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,626.2076159856002,0.3494189065301842,0.7083999665550778
"(np.float64(-11.138475965901177), np.float64(15.844937806728451))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,627.9307770670714,0.35211370544794024,0.705627469727432
"(np.float64(-11.13613028688883), np.float64(15.686542745000056))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,678.1520495556937,0.43065321763047215,0.8640208849343717
"(np.float64(-11.135513002938213), np.float64(15.84962916475314))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,627.7175708124647,0.3517802787066153,0.7010400705518918
"(np.float64(-11.133167323925868), np.float64(15.84592546104944))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,629.5894457495831,0.3547076466752643,0.7048301282972058
"(np.float64(-11.13106855849377), np.float64(15.83555509067907))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,633.2322008680862,0.36040444000268296,0.7152773231504733
"(np.float64(-11.122056212814757), np.float64(15.851604473395117))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,632.1099844955291,0.35864944013716077,0.6996863020737977
"(np.float64(-11.116994484419696), np.float64(15.840369905493883))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,637.0444022530017,0.36636622516415346,0.7111990925677245
"(np.float64(-11.116994484419696), np.float64(15.847036572160548))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,635.2175592535103,0.3635092812655967,0.7045453318777278
"(np.float64(-11.115266089357966), np.float64(15.836666201790178))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,638.7038946690047,0.3689614546030932,0.7150040495169108
"(np.float64(-11.113908064666608), np.float64(15.68320941166672))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,686.8035727796963,0.4441830702203871,0.8682746958248705
"(np.float64(-11.111685842444388), np.float64(17.016542745000052))",16,16,16,10,10,10,10,10,10,16,16,16,16,16,Aghorat,Kiffa,646.3250363985253,0.3808799250848216,0.46228405735372946
"(np.float64(-11.111068558493768), np.float64(15.509629164753138))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,752.4035063478844,0.5467728001564263,1.0417741128832336
"(np.float64(-11.109463620222163), np.float64(15.837653856111167))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,640.57099291035,0.3718813524433031,0.7143853441763234
"(np.float64(-11.106130286888831), np.float64(15.52209830055561))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,748.9573185678572,0.5413834124782455,1.0295709505370958
"(np.float64(-11.10613028688883), np.float64(15.684197065987709))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,689.1265379552417,0.44781588441771114,0.8677457411581119
"(np.float64(-11.10427843503698), np.float64(15.675431633888941))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,692.753065714469,0.45348730027422196,0.8766107443033758
"(np.float64(-11.103661151086362), np.float64(15.513085954876594))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,753.2901931838995,0.5481594625826934,1.0385269104381514
"(np.float64(-11.097858681950559), np.float64(15.838764967222277))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,644.5743268736243,0.37814204399886964,0.7140104009801256
"(np.float64(-11.097241397999941), np.float64(15.67987607833339))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,693.652484908203,0.4548938744453458,0.8726202481261044
"(np.float64(-11.09143892886414), np.float64(15.511974843765485))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,757.507873209544,0.5547553633900887,1.0356976499091346
"(np.float64(-11.089463620222164), np.float64(15.8509871894445))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,644.4192808103849,0.37789957220217424,0.702343584451632
"(np.float64(-11.088229052320928), np.float64(15.682592127716104))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,695.8548920057129,0.4583381515513265,0.870479613483925
"(np.float64(-11.081685842444386), np.float64(15.508764967222275))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,761.8170235919974,0.5614943118911595,1.0357258533348062
"(np.float64(-11.078352509111053), np.float64(15.676542745000054))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,701.3375230508767,0.46691227057353013,0.876136697764742
"(np.float64(-11.074401891827101), np.float64(15.689752621543263))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,698.3080256113454,0.46217453217566457,0.8623844111885266
"(np.float64(-11.07390806466661), np.float64(15.83987607833339))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,653.2781438217193,0.39175367714465065,0.7144162488160464
"(np.float64(-11.069587077012288), np.float64(15.686295831419809))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,701.1559261358442,0.46662827671169127,0.863924514545965
"(np.float64(-11.02751917577772), np.float64(15.315431633888945))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,858.1538947444901,0.7121525985210403,1.1646886912459802
"(np.float64(-11.015266089357967), np.float64(15.502221757345735))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,785.7512114973197,0.5989242564031176,1.02257501623615
"(np.float64(-11.009463620222164), np.float64(15.52209830055561))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,780.1640244783083,0.5901866254909351,1.0018720972407045
"(np.float64(-10.991685842444387), np.float64(15.508764967222275))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,791.1704766514314,0.6073992794461549,1.0102719324961769
"(np.float64(-10.988074731333276), np.float64(15.289876078333387))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,880.8059623535906,0.7475774743114245,1.2015822434547985
"(np.float64(-10.980574731333274), np.float64(15.305431633888942))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,876.381696468496,0.7406585001962251,1.2063023205174859
"(np.float64(-10.977519175777719), np.float64(15.299320522777833))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,879.917535578003,0.7461880908468705,1.2117097618615154
"(np.float64(-10.976500657259201), np.float64(15.51987607833339))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,792.2287938021536,0.6090543492728098,0.9958739254257786
"(np.float64(-10.972241397999944), np.float64(15.314042745000055))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,875.2610964312146,0.7389060280680101,1.1962526596874015
"(np.float64(-10.970296953555497), np.float64(15.286820522777829))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,887.4614718205637,0.7579858220286336,1.2190482620632412
"(np.float64(-10.963074731333274), np.float64(15.3034871894445))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,882.5491417657905,0.7503035792844084,1.2049340842138954
"(np.float64(-10.962056212814757), np.float64(15.521481016604993))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,796.6548451601146,0.6159761156344217,0.9910634792409941
"(np.float64(-10.960698188123398), np.float64(15.516666201790175))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,798.8919223068325,0.6194746121700823,0.9954692182898882
"(np.float64(-10.960574731333276), np.float64(15.51543163388894))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,799.3877326878131,0.6202499948620696,0.9966481716873826
"(np.float64(-10.958074731333276), np.float64(15.272376078333386))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,897.3825217030185,0.7735010485351522,1.2300403202783077
"(np.float64(-10.94890806466661), np.float64(15.279876078333384))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,896.9664637798791,0.7728503882730003,1.2257413504391015
"(np.float64(-10.946130286888831), np.float64(15.518888424012399))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,803.1899205627337,0.6261961202014913,0.9902524949718796
"(np.float64(-10.939741397999942), np.float64(15.263487189444497))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,906.8251132795508,0.7882680287292074,1.2404421832553458
